tgrowden,5008,200,199,523073000,165180000,357893000,1,1
PratikH1,5040,47,4,495000,,,0,0
rbaxter08,5037,2,42,513000,,,0,0
rbaxter08,5035,2,2,2236000,,,0,0
kishorsharma,4998,42,2,626673000,,,0,0
dnln,5017,571,31,183613000,175634000,7979000,6,2
PratikH1,5024,284,11825,93272000,,,0,0
kishorsharma,5032,0,8,9208000,,,0,0
rbaxter08,5029,74,49,66862000,,,0,0
kishorsharma,5016,10281,79,164522000,,,0,0
larasanders-h1,5012,685,590,167561000,67183000,100378000,1,1
rbaxter08,5027,45,32,280000,,,0,0
jflewis,5026,62,47,2149000,,,0,0
caleb-mahala-h1,5025,146,140,529000,,,0,0
djj211,4988,36,21,679592000,,,0,0
chandraH1,4962,104,64,1304003000,5831000,1298172000,4,4
chandraH1,5005,3662,84,175026000,170988000,4038000,2,2
caleb-mahala-h1,5019,51,40,35526000,,,0,0
jflewis,5022,2,150,1239000,,,0,0
rbaxter08,5018,337,2,11549000,,,0,0
caleb-mahala-h1,5007,7,3,95301000,,,0,0
tgrowden,5009,2,1,76430000,,,0,0
rbaxter08,5013,188,69,62318000,40005000,22313000,1,1
kishorsharma,5014,359,15,18218000,16038000,2180000,2,2
rbaxter08,5011,64,149,62715000,,,0,0
rbaxter08,5010,56,32,63279000,,,0,0
kishorsharma,4991,9,5,519187000,27585000,491602000,1,1
kishorsharma,4979,2375,74,619056000,601303000,17753000,2,2
rbaxter08,5006,1045,3,1237000,384000,853000,1,0
rbaxter08,4980,262,247,596768000,172926000,423842000,1,0
rbaxter08,5002,390,289,70687000,119000,70568000,3,0
caleb-mahala-h1,4983,1412,124,589712000,,,0,0
rbaxter08,5001,681,266,1921000,726000,1195000,9,2
dnln,4987,53,36,437009000,,,0,0
djj211,5000,67,33,239273000,,,0,0
shreenathm97,4978,30,21,522963000,,,0,0
dnln,4992,1,1,78179000,,,0,0
shreenathm97,4927,35,29,1376248000,,,0,0
shreenathm97,4923,164,115,1454544000,821900000,632644000,1,1
kishorsharma,4996,4,1,3526000,,,0,0
rbaxter08,4981,86,117,172339000,,,0,0
kishorsharma,4993,24,6,8139000,,,0,0
rbaxter08,4989,108,26,75029000,,,0,0
jflewis,4990,15,4,71529000,,,0,0
caleb-mahala-h1,4885,527,252,2921099000,1337000,2919762000,9,7
dnln,4948,553,332,782900000,3904000,778996000,1,1
chandraH1,4971,704,119,520464000,1670000,518794000,1,1
kishorsharma,4982,25,9,75227000,,,0,0
tgrowden,4972,45,32,460318000,,,0,0
jflewis,4984,39,30,7102000,,,0,0
jflewis,4985,1,0,516000,,,0,0
djj211,4977,145,288,347689000,,,0,0
rbaxter08,4976,64,7,350545000,,,0,0
tgrowden,4954,884,326,264282000,544000,263738000,2,2
djj211,4969,53,31,150752000,,,0,0
djj211,4968,16,2,152242000,,,0,0
djj211,4970,32,8,148101000,,,0,0
shreenathm97,4975,2,2,63837000,,,0,0
kishorsharma,4952,38,18,239955000,3882000,236073000,1,1
kishorsharma,4963,25,15,154487000,,,0,0
shreenathm97,4973,1,1,4670000,,,0,0
djj211,4967,59,70,81740000,,,0,0
jflewis,4966,1,1,74829000,,,0,0
nadeemsaleh,4960,57,43,84268000,8825000,75443000,1,0
PratikH1,4965,3,1,10669000,,,0,0
tgrowden,4958,92,60,86639000,,,0,0
rbaxter08,4964,36,35,466000,16000,450000,1,0
rbaxter08,4959,29,29,47642000,,,0,0
prabhjotarora,4953,45,18,13719000,2494000,11225000,1,1
rbaxter08,4956,50,17,5689000,25000,5664000,5,0
jflewis,4955,119,37,6305000,,,0,0
djj211,4957,3,2,904000,,,0,0
dnln,4920,101,45,1563585000,,,0,0
djj211,4951,172,67,68324000,68178000,146000,1,1
rbaxter08,4934,320,2591,511072000,,,0,0
chandraH1,4947,562,73,88211000,84337000,3874000,10,10
rbaxter08,4946,583,163,87742000,104000,87638000,2,0
jflewis,4931,296,19,515995000,,,0,0
kishorsharma,4945,1221,48,87143000,19372000,67771000,6,6
djj211,4949,72,34,79714000,,,0,0
dnln,4943,353,200,330712000,276842000,53870000,1,1
dnln,4935,249,166,439738000,72151000,367587000,1,1
dnln,4930,754,559,450819000,,,0,0
dnln,4928,295,218,455970000,,,0,0
caleb-mahala-h1,4933,36,19,440749000,2796000,437953000,1,1
PratikH1,4862,44,1,2426472000,,,0,0
djj211,4944,498,249,260764000,251269000,9495000,2,2
PratikH1,2628,4050,61,39651000,36747000,2904000,3,3
PratikH1,2632,4,4,250000,,,0,0
djj211,4932,344,118,424343000,,,0,0
djj211,4905,253,72,1463641000,60115000,1403526000,1,1
djj211,4901,313,71,1476795000,,,0,0
djj211,4940,15,15,16135000,,,0,0
jflewis,4941,96,71,10337000,,,0,0
nadeemsaleh,4894,551,223,1476735000,1391075000,85660000,1,1
djj211,4918,858,277,1201188000,1198000,1199990000,1,1
djj211,4937,99,60,85545000,,,0,0
caleb-mahala-h1,4936,6,2,70131000,,,0,0
chandraH1,4929,47,37,50186000,,,0,0
jflewis,4917,8,1,1118745000,,,0,0
shreenathm97,4891,1675,69,1386689000,102851000,1283838000,1,1
djj211,4926,3,8,57050000,,,0,0
caleb-mahala-h1,4925,7,4,67873000,,,0,0
caleb-mahala-h1,4922,67,26,1031903000,,,0,0
djj211,4910,83,52,1132768000,,,0,0
chandraH1,4915,380,167,1044589000,1034767000,9822000,2,2
rbaxter08,4924,9,4,5930000,,,0,0
chandraH1,4913,150,60,1036552000,,,0,0
rbaxter08,4921,17,17,5000,,,0,0
rbaxter08,4902,259,61,244530000,40000,244490000,6,1
jflewis,4914,7,3,11108000,,,0,0
jflewis,4916,62,39,8533000,,,0,0
asensf,4912,59,22,25607000,101000,25506000,2,0
caleb-mahala-h1,4837,196,57,1386754000,179548000,1207206000,2,2
chandraH1,4875,4,11,613807000,,,0,0
rbaxter08,4911,4,3,933000,,,0,0
rbaxter08,4903,3,2,1696000,,,0,0
djj211,4868,192,15,696332000,,,0,0
rbaxter08,4908,41,54,1269000,,,0,0
rbaxter08,4907,10,31,2835000,,,0,0
rbaxter08,4906,119,49,49000,,,0,0
caleb-mahala-h1,4900,71,7,81385000,,,0,0
rbaxter08,4881,5032,7455,490354000,203000,490151000,11,0
djj211,4904,23,10,10760000,,,0,0
adamrisser,4896,99,9,65295000,97000,65198000,2,1
rbaxter08,4878,597,309,425998000,89916000,336082000,2,2
rbaxter08,4848,65,26,1034823000,,,0,0
djj211,4853,237,92,1016295000,680473000,335822000,2,2
rbaxter08,4880,5,754,369178000,,,0,0
jflewis,4860,4,4,874791000,,,0,0
djj211,4897,6,2,1892000,,,0,0
djj211,4892,1808,43,22150000,91000,22059000,2,0
djj211,4893,713,11,17960000,17390000,570000,1,1
djj211,4895,302,5,12472000,,,0,0
adamrisser,4866,355,188,583110000,69833000,513277000,6,3
adamrisser,4886,3,3,158394000,,,0,0
adamrisser,4890,2,2,61425000,,,0,0
adamrisser,4889,1,2,65403000,,,0,0
adamrisser,4888,13,9,72510000,,,0,0
adamrisser,4887,1,1,152162000,,,0,0
djj211,4854,36,1,680714000,,,0,0
dnln,4873,5,5,162784000,,,0,0
dnln,4849,86,40,685679000,683534000,2145000,1,1
chandraH1,4883,1,1,1402000,,,0,0
caleb-mahala-h1,4872,11,3,155369000,,,0,0
caleb-mahala-h1,4871,24,1,155383000,,,0,0
rbaxter08,4882,16,4,1172000,,,0,0
caleb-mahala-h1,4877,10,8,14039000,159000,13880000,3,1
caleb-mahala-h1,4879,79,31,1548000,,,0,0
adamrisser,4858,58,86,537351000,,,0,0
felix-h1,4864,313,226,254858000,152297000,102561000,5,5
chandraH1,4874,42,0,35064000,,,0,0
rbaxter08,4869,7181,304,179467000,,,0,0
asensf,4867,11,5,201695000,201450000,245000,1,0
kishorsharma,4782,676,1,1993556000,542223000,1451333000,8,8
dnln,4863,10,5,176020000,,,0,0
kishorsharma,4720,24,13,3141118000,16787000,3124331000,2,2
shreenathm97,4826,11752,785,1050967000,530967000,520000000,2,2
chandraH1,4818,273,8,1159169000,,,0,0
caleb-mahala-h1,4870,17,4,1581000,,,0,0
prabhjotarora,4857,60,52,389770000,,,0,0
vigneshr1905,4788,1620,301,1741241000,74942000,1666299000,22,22
caleb-mahala-h1,4865,27,19,65574000,,,0,0
dnln,4797,123,29,1553018000,868060000,684958000,1,1
aravind-anil-h1,4754,495,46,2347171000,37519000,2309652000,14,14
adamrisser,4859,3,2,266282000,,,0,0
chandraH1,4861,10,10,462000,,,0,0
caleb-mahala-h1,4852,276,52,334254000,1167000,333087000,1,1
dnln,4796,655,45,1548789000,,,0,0
caleb-mahala-h1,4850,39,5,14271000,2134000,12137000,1,1
caleb-mahala-h1,4855,18,6,2649000,,,0,0
caleb-mahala-h1,4851,51,6,2005000,,,0,0
caleb-mahala-h1,4845,19,2,89472000,,,0,0
chandraH1,4800,236,35,879856000,5996000,873860000,1,1
djj211,4834,832,6,261814000,,,0,0
rbaxter08,4847,59,8,64981000,,,0,0
jflewis,4844,314,211,80058000,,,0,0
rbaxter08,4841,130,1,151161000,148066000,3095000,2,2
djj211,4838,9,11,169285000,,,0,0
someshchadda,4808,3,0,812517000,,,0,0
asensf,4846,6,0,2490000,,,0,0
prabhjotarora,4816,18,17,657174000,,,0,0
caleb-mahala-h1,4843,3,2,22351000,,,0,0
caleb-mahala-h1,4840,456,566,8796000,,,0,0
jflewis,4839,393,381,11501000,634000,10867000,2,2
adamrisser,4836,5,3,52928000,,,0,0
jflewis,4835,359,238,64870000,24312000,40558000,3,3
caleb-mahala-h1,4825,2,0,333590000,320418000,13172000,1,1
caleb-mahala-h1,4824,27,8,336805000,125000,336680000,1,0
caleb-mahala-h1,4820,33,13,428633000,,,0,0
djj211,4832,77,23,7777000,,,0,0
jflewis,4831,43,30,1572000,,,0,0
rbaxter08,4748,218,330,1729454000,542729000,1186725000,2,2
jflewis,4830,56,18,3445000,,,0,0
jflewis,4828,224,247,12004000,512000,11492000,2,2
rbaxter08,4829,1,1,459000,,,0,0
caleb-mahala-h1,4827,3,1,1311000,,,0,0
caleb-mahala-h1,4823,8,1,6054000,,,0,0
caleb-mahala-h1,4821,4,0,87168000,,,0,0
caleb-mahala-h1,4819,14,12,102196000,,,0,0
caleb-mahala-h1,4812,129,24,182767000,,,0,0
djj211,4822,8,1,2290000,,,0,0
vigneshr1905,4789,383,37,691586000,81726000,609860000,5,5
djj211,4785,155,16,683510000,,,0,0
someshchadda,4811,56,54,101129000,,,0,0
someshchadda,4805,85,28,173741000,75154000,98587000,2,2
jflewis,4814,540,117,80140000,2496000,77644000,1,1
someshchadda,4432,1093,521,573953000,37883000,536070000,2,2
someshchadda,4372,1512,1116,1196231000,1194000,1195037000,26,24
caleb-mahala-h1,4815,2,1,67252000,,,0,0
dnln,4813,33,1,49148000,,,0,0
tgrowden,4682,198,21,2346613000,,,0,0
rbaxter08,4810,356,361,5772000,,,0,0
chandraH1,4809,196,1,14704000,,,0,0
djj211,4806,36,48,68257000,,,0,0
rbaxter08,4804,179,124,75341000,158000,75183000,4,0
rbaxter08,4802,213,207,76375000,,,0,0
vigneshr1905,4645,76,1,2882393000,583061000,2299332000,4,4
caleb-mahala-h1,4784,308,60,521291000,515274000,6017000,1,1
rbaxter08,4791,1134,1081,431175000,,,0,0
jflewis,4763,1511,286,525618000,94807000,430811000,4,4
caleb-mahala-h1,4792,157,106,13020000,,,0,0
caleb-mahala-h1,4794,4,2,2268000,,,0,0
vigneshr1905,4793,510,240,595000,,,0,0
rbaxter08,4749,86,122,699365000,542573000,156792000,1,1
chandraH1,4790,25,10,2466000,,,0,0
chandraH1,4787,75,35,15010000,,,0,0
aravind-anil-h1,4783,19,1,96671000,,,0,0
aravind-anil-h1,4777,179,24,337574000,,,0,0
vigneshr1905,4786,10,0,11625000,,,0,0
djj211,4780,22,7,109314000,,,0,0
djj211,4776,7,1,344712000,,,0,0
chandraH1,4758,276,9,462730000,89298000,373432000,5,5
jflewis,4781,332,196,82293000,,,0,0
vigneshr1905,4745,837,96,865536000,424933000,440603000,7,7
rbaxter08,4759,106,176,430720000,,,0,0
dnln,4711,120,63,1301100000,91564000,1209536000,3,2
aravind-anil-h1,4634,818,93,2335772000,34499000,2301273000,16,16
chandraH1,4779,23,286,8316000,70000,8246000,1,0
chandraH1,4778,18,2,13984000,,,0,0
djj211,4740,20,6,934711000,,,0,0
someshchadda,4751,311,55,509251000,526000,508725000,6,6
vigneshr1905,4746,11,1,643592000,,,0,0
aravind-anil-h1,4762,31,29,101641000,,,0,0
caleb-mahala-h1,4775,10,4,1502000,58000,1444000,1,1
aravind-anil-h1,4767,5,1,36742000,,,0,0
aravind-anil-h1,4744,24,22,633611000,4256000,629355000,7,7
djj211,4734,58,8,770560000,,,0,0
caleb-mahala-h1,4774,6,3,981000,,,0,0
djj211,4712,487,303,968463000,14637000,953826000,3,3
caleb-mahala-h1,4765,3,1,78594000,,,0,0
caleb-mahala-h1,4773,12,20,4594000,,,0,0
caleb-mahala-h1,4771,2,2,1466000,,,0,0
caleb-mahala-h1,4770,2,3,2405000,,,0,0
caleb-mahala-h1,4764,57,10,71787000,3658000,68129000,2,2
chandraH1,4769,50,14,1809000,,,0,0
chandraH1,4768,0,2,1556000,,,0,0
caleb-mahala-h1,4757,578,45,97931000,79542000,18389000,4,4
caleb-mahala-h1,4761,18,16,1321000,,,0,0
rbaxter08,4760,5,5,2627000,,,0,0
rbaxter08,4725,183,234,771999000,40000,771959000,1,0
caleb-mahala-h1,4739,229,185,518812000,515700000,3112000,1,1
chandraH1,4756,8,2,877000,,,0,0
rbaxter08,4752,61,33,79072000,,,0,0
djj211,4733,2,1,581461000,,,0,0
chandraH1,4750,150,125,82548000,82168000,380000,1,1
caleb-mahala-h1,4753,1,1,2209000,,,0,0
balaguruk,4716,158,6,685302000,21856000,663446000,11,11
balaguruk,4653,62,92,1620634000,491260000,1129374000,2,2
caleb-mahala-h1,4747,27,10,84638000,81119000,3519000,2,2
balaguruk,4558,115,4,2756376000,505346000,2251030000,13,13
chandraH1,4743,598,155,355799000,69000,355730000,3,1
djj211,4741,18,53,406905000,350216000,56689000,1,0
someshchadda,4742,61,27,333278000,,,0,0
rbaxter08,4724,137,41,514101000,51000,514050000,6,2
aravind-anil-h1,4677,143,33,1014141000,94464000,919677000,3,3
vigneshr1905,4691,92,37,689543000,,,0,0
felix-h1,4736,1,0,282000,,,0,0
djj211,4642,1214,521,1281198000,496621000,784577000,5,5
caleb-mahala-h1,4731,41,18,69017000,,,0,0
chandraH1,4721,864,23,180077000,178604000,1473000,1,1
caleb-mahala-h1,4728,1652,50,89511000,33564000,55947000,1,1
tgrowden,4732,4,8,1321000,30000,1291000,1,0
jflewis,4730,478,82,2691000,812000,1879000,1,1
tgrowden,4707,246,113,438038000,,,0,0
tgrowden,4709,26,26,431119000,,,0,0
tgrowden,4723,3,2,93569000,,,0,0
chandraH1,4692,648,62,523690000,7628000,516062000,3,3
caleb-mahala-h1,4719,342,24,118980000,51011000,67969000,2,2
caleb-mahala-h1,4681,365,70,588582000,9598000,578984000,6,6
tgrowden,4727,35,41,13672000,,,0,0
jflewis,4726,180,2,1460000,,,0,0
tgrowden,4708,9,3,29000,,,0,0
caleb-mahala-h1,4710,62,4,334729000,323430000,11299000,3,3
rbaxter08,4706,105132,0,338602000,334924000,3678000,2,2
rbaxter08,4715,28,547,71618000,108000,71510000,6,1
rbaxter08,4680,350,302,512364000,510734000,1630000,1,1
djj211,4714,28,3,5901000,,,0,0
tgrowden,4699,25,13,347031000,,,0,0
jflewis,4666,552,240,274215000,50000,274165000,5,4
tgrowden,4629,102,194,862363000,,,0,0
djj211,4704,23,39,5344000,,,0,0
djj211,4703,127,12,5786000,,,0,0
rbaxter08,4702,27,1977,7211000,,,0,0
caleb-mahala-h1,4705,3,0,767000,,,0,0
djj211,4646,59,50,751874000,,,0,0
djj211,4700,504,201,16156000,11968000,4188000,1,1
djj211,4685,64,9,93714000,,,0,0
djj211,4684,503,266,93282000,,,0,0
aravind-anil-h1,4654,138,23,566676000,254298000,312378000,1,1
djj211,4643,40,34,687693000,,,0,0
caleb-mahala-h1,4698,11,6,2982000,695000,2287000,1,1
aravind-anil-h1,4690,5,3,29737000,,,0,0
rbaxter08,4697,20,15,1607000,38000,1569000,4,1
caleb-mahala-h1,4694,8,7,6274000,,,0,0
rbaxter08,4695,300,263,2377000,,,0,0
rbaxter08,4696,255,231,6000,,,0,0
prabhjotarora,4631,140,2,762049000,854000,761195000,13,12
chandraH1,4670,759,6,160967000,,,0,0
aravind-anil-h1,4659,63,4,261740000,25344000,236396000,2,2
rbaxter08,4689,3,3,2887000,,,0,0
rbaxter08,4688,1,1,1248000,18000,1230000,1,0
caleb-mahala-h1,4683,822,308,6782000,2709000,4073000,1,1
rbaxter08,4679,69,80,17681000,,,0,0
rbaxter08,4686,9,1,2189000,,,0,0
djj211,4672,57,10,83743000,230000,83513000,1,0
rbaxter08,4678,23,4,5351000,,,0,0
chandraH1,4649,112,10,520261000,,,0,0
jflewis,4662,2,11,158131000,,,0,0
rbaxter08,4664,98,31,82607000,,,0,0
caleb-mahala-h1,4676,2,2,1266000,,,0,0
felix-h1,4675,7,3,541000,,,0,0
caleb-mahala-h1,4674,5,2,587000,,,0,0
caleb-mahala-h1,4637,166,43,532387000,441172000,91215000,1,1
caleb-mahala-h1,4628,32,34,615665000,,,0,0
caleb-mahala-h1,4624,41,25,621932000,,,0,0
caleb-mahala-h1,4610,74,29,963408000,262398000,701010000,2,2
caleb-mahala-h1,4584,165,58,1146068000,,,0,0
caleb-mahala-h1,4566,1302,707,1302194000,160371000,1141823000,5,5
rbaxter08,4671,13,3,1006000,,,0,0
rbaxter08,4667,18,70,7539000,,,0,0
rbaxter08,4665,1356,2413,4460000,,,0,0
rbaxter08,4626,56,594,597181000,,,0,0
rbaxter08,4625,224,1721,597626000,512944000,84682000,3,3
vigneshr1905,4660,7,7,98135000,,,0,0
kishorsharma,4656,9,5,349701000,,,0,0
rbaxter08,4661,22,13,3962000,,,0,0
jflewis,4617,89,10,837527000,325447000,512080000,2,2
chandraH1,4553,1243,267,1472296000,262681000,1209615000,4,1
chandraH1,4574,512,266,919990000,,,0,0
tgrowden,4639,12,15,172000000,60975000,111025000,1,1
rbaxter08,4657,2,2,181000,,,0,0
balaguruk,4402,410,156,3296508000,5685000,3290823000,4,4
rbaxter08,4652,44,5,322000,,,0,0
rbaxter08,4638,161,135,93011000,707000,92304000,2,1
aravind-anil-h1,4573,263,23,807648000,13665000,793983000,1,1
someshchadda,4627,74,4,174953000,9978000,164975000,1,1
balaguruk,4456,255,61,2411441000,369638000,2041803000,2,2
balaguruk,4434,290,21,2602821000,615727000,1987094000,11,11
aravind-anil-h1,4651,0,1,1215000,,,0,0
vigneshr1905,4648,23,11,21603000,,,0,0
rbaxter08,4650,7,3,18000,,,0,0
prabhjotarora,4581,65,16,758422000,268401000,490021000,1,0
rbaxter08,4641,7,12,67646000,,,0,0
vigneshr1905,4647,2,2,918000,,,0,0
djj211,4644,15,4,5819000,,,0,0
felix-h1,4542,12,2,1199673000,,,0,0
rbaxter08,4640,0,28,2490000,,,0,0
caleb-mahala-h1,4560,945,334,1030641000,410743000,619898000,4,4
sanyamjain07,4635,1,1,30475000,,,0,0
tgrowden,4630,73,21,70317000,,,0,0
caleb-mahala-h1,4636,1,1,1820000,,,0,0
rbaxter08,4633,1,1,7000,,,0,0
tgrowden,4632,16,8,1902000,,,0,0
jflewis,4621,11,8,2095000,,,0,0
rbaxter08,4620,1,1495,63519000,,,0,0
rbaxter08,4585,175,195,88381000,31000,88350000,6,0
jflewis,4606,432,250,270766000,,,0,0
rbaxter08,4618,15,1,10163000,,,0,0
rbaxter08,4619,1926,12,5396000,,,0,0
rbaxter08,4607,2,6,268196000,,,0,0
rbaxter08,4614,22,1,3737000,422000,3315000,1,1
djj211,4616,12,52,798000,,,0,0
tgrowden,4615,2,0,1654000,,,0,0
dnln,4583,42,9,204721000,,,0,0
